Infringement Id,Status
135748,Unmanaged
135740,Unmanaged
134931,Paid
135745,Unmanaged
135652,Paid
259910,Due
354732,Unmanaged
355006,Paid
135750,Paid
134917,Unmanaged
293369,Paid
246394,Paid
135726,Unmanaged
246395,Paid
175737,Due
134930,Unmanaged
259912,Due
134911,Unmanaged
259655,Due
293368,Paid
134926,Unmanaged
293367,Paid
283661,Unmanaged
135723,Unmanaged
134690,Unmanaged
283957,Unmanaged
293472,Paid
135744,Unmanaged
134689,Paid
96168,Unmanaged
283987,Unmanaged
283891,Unmanaged
134693,Unmanaged
260342,Paid
134692,Unmanaged
135742,Paid
134691,Unmanaged
135743,Paid
135732,Unmanaged
134908,Unmanaged
135025,Paid
283988,Paid
135737,Unmanaged
135734,Paid
134688,Unmanaged
135735,Unmanaged
259911,Due
135725,Paid
293442,Paid
283869,Unmanaged
135736,Unmanaged
135715,Paid
134682,Paid
290664,Paid
135727,Unmanaged
135722,Paid
135718,Unmanaged
134687,Unmanaged
135731,Paid
135733,Unmanaged
135717,Paid
290555,Paid
135730,Unmanaged
175744,Paid
135728,Unmanaged
135714,Unmanaged
135724,Paid
134686,Unmanaged
290627,Paid
135719,Paid
134921,Unmanaged
134914,Unmanaged
283873,Unmanaged
134920,Unmanaged
135695,Unmanaged
134683,Unmanaged
135679,Unmanaged
231111,Unmanaged
259928,Paid
290641,Paid
135721,Unmanaged
135720,Paid
134894,Unmanaged
135709,Unmanaged
135024,Unmanaged
135639,Unmanaged
134919,Unmanaged
293384,Paid
350383,Unmanaged
290676,Paid
135716,Unmanaged
135707,Paid
135710,Unmanaged
302818,Paid
134685,Unmanaged
134669,Unmanaged
134681,Unmanaged
134895,Unmanaged
135713,Paid
134680,Unmanaged
134677,Unmanaged
134676,Unmanaged
135711,Paid
135712,Unmanaged
134684,Unmanaged
259927,Paid
134679,Paid
259923,Due
337328,Paid
351030,Unmanaged
246393,Paid
134890,Paid
135704,Paid
135700,Unmanaged
135708,Unmanaged
135701,Paid
259931,Due
290775,Paid
134665,Unmanaged
135705,Unmanaged
134910,Unmanaged
135706,Paid
134889,Paid
134678,Unmanaged
134915,Unmanaged
354862,Unmanaged
290837,Paid
246392,Paid
135665,Unmanaged
134675,Unmanaged
134906,Paid
135651,Unmanaged
134893,Unmanaged
134913,Unmanaged
134674,Unmanaged
410945,Unmanaged
337322,Unmanaged
352874,Unmanaged
135702,Paid
135703,Unmanaged
285012,Unmanaged
135698,Unmanaged
134891,Unmanaged
135697,Closed
342480,Paid
134912,Unmanaged
337323,Unmanaged
259936,Due
134664,Unmanaged
290723,Paid
134673,Paid
135694,Unmanaged
135696,Paid
135647,Paid
135699,Unmanaged
293383,Paid
134667,Unmanaged
134636,Unmanaged
175743,Outstanding
135664,Unmanaged
134672,Unmanaged
134671,Unmanaged
134907,Unmanaged
135692,Unmanaged
283874,Unmanaged
135675,Paid
135676,Paid
134658,Unmanaged
283875,Unmanaged
246391,Paid
337324,Unmanaged
134666,Unmanaged
134901,Unmanaged
134905,Unmanaged
134637,Unmanaged
134670,Unmanaged
134887,Unmanaged
293365,Paid
135678,Unmanaged
354685,Paid
135693,Unmanaged
135688,Unmanaged
134898,Unmanaged
135677,Unmanaged
135689,Unmanaged
134897,Paid
134896,Paid
283882,Unmanaged
135685,Unmanaged
290556,Paid
134668,Unmanaged
135683,Paid
293439,Paid
134663,Paid
302778,Paid
290727,Paid
135581,Unmanaged
135687,Paid
302603,Paid
175749,Outstanding
134904,Unmanaged
135690,Paid
135691,Unmanaged
134662,Unmanaged
290850,Paid
134902,Paid
290557,Paid
135674,Closed
135686,Unmanaged
135682,Unmanaged
134659,Paid
355146,Unmanaged
283884,Unmanaged
135684,Unmanaged
135680,Unmanaged
290834,Paid
135662,Paid
135681,Unmanaged
259647,Outstanding
135643,Unmanaged
259649,Due
135671,Unmanaged
355211,Unmanaged
350580,Unmanaged
134653,Unmanaged
134657,Unmanaged
93578,Unmanaged
337326,Unmanaged
134661,Unmanaged
135673,Unmanaged
134900,Unmanaged
293459,Paid
259650,Due
283918,Unmanaged
355071,Unmanaged
135672,Unmanaged
135669,Outstanding
135650,Unmanaged
134876,Paid
135663,Unmanaged
135670,Paid
285013,Unmanaged
134899,Unmanaged
134875,Paid
135668,Unmanaged
293364,Paid
259939,Outstanding
259946,Due
283989,Unmanaged
134888,Unmanaged
245524,Paid
134655,Unmanaged
135667,Unmanaged
135661,Paid
134660,Unmanaged
134654,Unmanaged
135657,Paid
134886,Unmanaged
135655,Paid
135666,Unmanaged
135634,Unmanaged
259937,Due
134656,Unmanaged
135660,Unmanaged
283888,Unmanaged
135633,Paid
135642,Unmanaged
135656,Unmanaged
283920,Unmanaged
290839,Paid
290832,Paid
354993,Unmanaged
354701,Unmanaged
350203,Unmanaged
354652,Unmanaged
134646,Unmanaged
134885,Paid
134645,Unmanaged
285014,Unmanaged
134650,Paid
135637,Unmanaged
135646,Unmanaged
135659,Unmanaged
135658,Unmanaged
134649,Paid
135638,Unmanaged
337312,Unmanaged
134892,Paid
135654,Unmanaged
135649,Paid
135641,Unmanaged
96169,Unmanaged
85962,Paid
290681,Paid
135653,Unmanaged
134863,Unmanaged
134652,Unmanaged
245525,Paid
135648,Unmanaged
135645,Unmanaged
134643,Unmanaged
134648,Unmanaged
135636,Closed
135632,Paid
